,bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,cover_id,downloaded
43,67,The Known World,Edward P. Jones,3.83,61159174,9780061159176,eng,388,28962,2576,00046872-M.jpg,0
44,68,The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,50,12,00035181-M.jpg,0
45,69,The Known World,Edward P. Jones,3.83,60749911,9780060749910,eng,576,22,3,00034377-M.jpg,0
46,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9780273704744,eng,334,1398,78,000154437-M.jpg,0
47,72,Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,9781932386103,eng,352,50,4,000959537-M.jpg,0
48,73,The Known World,Edward P. Jones,3.83,096513671X,9780965136716,eng,388,15,2,,0
49,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,9780374517199,eng,416,550,36,000224670-M.jpg,0
50,75,Uncommon Carriers,John McPhee,3.95,374280398,9780374280390,en-US,248,1561,192,000223534-M.jpg,0
51,76,Heirs of General Practice,John McPhee,4.15,374519749,9780374519742,eng,128,253,18,000224711-M.jpg,0
52,77,The Control of Nature,John McPhee,4.24,374522596,9780374522599,en-US,288,3365,290,,0
53,78,Annals of the Former World,John McPhee,4.33,374518734,9780374518738,eng,720,2966,211,,0
54,79,Coming Into the Country,John McPhee,4.22,374522871,9780374522872,eng,448,5452,245,000224803-M.jpg,0
55,80,La Place de la Concorde Suisse,John McPhee,3.91,374519323,9780374519322,eng,160,671,52,000224707-M.jpg,0
56,81,Giving Good Weight,John McPhee,4.22,374516006,9780374516000,eng,288,533,34,000224654-M.jpg,0
57,83,Rising from the Plains,John McPhee,4.22,374520658,9780374520656,eng,208,1263,91,,0
58,85,The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,9780822205104,eng,81,1348,69,,0
59,86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,9780679734994,eng,249,2732,63,000420213-M.jpg,0
60,89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138,31,1,0001996984-M.jpg,1
61,90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,9781581807745,en-US,128,61,4,,0
62,91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,9780800793616,eng,192,822,53,000562500-M.jpg,0
63,92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,9780871202864,en-US,72,71,2,000660915-M.jpg,0
64,93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,9780753454947,eng,352,150657,2175,000500332-M.jpg,0
65,94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,9780871209993,eng,192,53,5,000661026-M.jpg,0
66,96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,9781852402877,eng,192,34,6,000900253-M.jpg,0
67,98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,9780761129585,eng,832,11489,658,000507721-M.jpg,0
68,99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,9780972016414,eng,123,34,8,000737531-M.jpg,0
69,100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9781581805635,en-US,128,75,4,000842941-M.jpg,0
70,103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,9780441294671,eng,423,2692,168,000284524-M.jpg,0
71,105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,9780441102679,eng,436,38651,552,0006610378-M.jpg,1
72,106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,9780441172696,eng,331,96649,2306,0006389112-M.jpg,1
73,107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.0,765306476,9780765306470,en-US,592,755,21,000524197-M.jpg,0
74,109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,9780399128981,eng,480,261,18,0006637679-M.jpg,1
75,110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,9780765353702,eng,426,4561,76,,0
76,112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,9780441104024,eng,408,84276,1370,000284479-M.jpg,0
77,117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,9780441328000,eng,471,45211,616,000284530-M.jpg,0
78,122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,66687,4445,0006459205-M.jpg,1
79,123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9780385732543,eng,291,44,12,000244693-M.jpg,0
80,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,9780785260059,en-US,256,16,1,000537021-M.jpg,0
81,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,9780471780939,eng,205,163,16,000306997-M.jpg,0
82,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,9780325001531,eng,240,10,0,0002385168-M.jpg,1
83,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,9780060762872,eng,336,73,9,00035184-M.jpg,0
84,133,eBay for Dummies,Marsha Collier,3.5,470045299,9780470045299,eng,386,102,9,000299626-M.jpg,0
85,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,9780072262780,eng,260,24,0,00062368-M.jpg,0
86,137,Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,9780764569241,eng,384,51,4,000522481-M.jpg,0
87,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9780471933823,eng,260,9,0,000307379-M.jpg,0
88,139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,9780764559914,en-US,391,19,1,000522061-M.jpg,0
89,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9780764584381,en-US,864,17,3,000522916-M.jpg,0
90,141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,9780596523695,eng,873,163,4,000389276-M.jpg,0
91,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,9780806523491,eng,240,47,5,000585603-M.jpg,0
92,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9780806525365,eng,206,12,2,0001524823-M.jpg,1
93,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,9780596527310,eng,514,49,1,000389304-M.jpg,0
94,151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,9780143035008,eng,838,15747,1795,000111128-M.jpg,0
95,152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,9780451528612,eng,960,108970,5694,000295745-M.jpg,0
96,153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,9780140449174,eng,837,2835,300,000104346-M.jpg,0
97,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,9780822001836,eng,80,15,3,,0
98,155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,9781593080273,eng,803,9362,710,000869620-M.jpg,0
99,156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,9780486437965,eng,752,460,71,000314295-M.jpg,0
100,157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,9781593081775,eng,803,298,47,0001983328-M.jpg,1
101,159,Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,9780778322276,eng,368,400,64,0006635990-M.jpg,1
102,160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9780521313254,eng,128,1191,32,0004120289-M.jpg,1
103,162,Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,9780140183955,eng,160,3168,250,00097376-M.jpg,0
104,163,The Untouchable,John Banville,3.96,679767479,9780679767473,eng,367,2077,209,,0
105,164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,9781568491981,eng,256,587,29,000811529-M.jpg,0
106,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9780743270793,en-US,320,299,39,000474745-M.jpg,0
107,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,9780932863058,eng,100,9,0,000712160-M.jpg,0
108,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,9780742508804,eng,224,16,4,0001382135-M.jpg,1
109,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9780205358625,eng,216,10,0,0001145702-M.jpg,1
110,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,9781557344038,eng,48,17,0,000780014-M.jpg,0
111,180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,9780380720446,en-US,360,985,23,,0
112,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,9780821925324,eng,250,37,7,0004289050-M.jpg,1
113,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,9780439271691,eng,32,14,0,0001228506-M.jpg,1
114,201,Una arruga en el tiempo â€“ A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,9780606105262,spa,205,6,1,,0
115,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,9780751506433,eng,367,366,16,,0
116,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,2934,222,00036089-M.jpg,0
117,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,9780743499347,en-US,320,346,45,000479588-M.jpg,0
118,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9780765313409,eng,331,9530,604,000524624-M.jpg,0
119,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,9781400032495,eng,244,770,72,000744904-M.jpg,0
120,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,9781400032488,eng,215,688,68,000744903-M.jpg,0
121,216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2739,158,000744901-M.jpg,0
122,231,I am Charlotte Simmons,Tom Wolfe,3.41,312424442,9780312424442,eng,738,20508,1686,000181910-M.jpg,0
123,237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,806930772,9780806930770,eng,48,64,18,000586599-M.jpg,0
124,244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,9780140366600,eng,287,76,6,000102089-M.jpg,0
125,245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,9780811201124,eng,217,937,50,000597866-M.jpg,0
126,247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154,3237,134,000568508-M.jpg,0
127,249,Tropic of Cancer,Henry Miller-JiÅ™Ã­ NÃ­l,3.69,802131786,9780802131782,eng,318,50905,2290,000568616-M.jpg,0
128,250,Tropic of Capricorn,Henry Miller,3.82,802151825,9780802151827,eng,348,13549,448,000569632-M.jpg,0
129,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,9780802151780,eng,316,3181,53,000569629-M.jpg,0
130,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,9780802151803,eng,506,7024,248,000569631-M.jpg,0
131,253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9780811201063,eng,292,2627,142,000597860-M.jpg,0
132,264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,9780141439631,eng,797,60027,1854,000109047-M.jpg,0
133,269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,9781593080969,eng,635,386,40,000869679-M.jpg,0
134,275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,9780375700521,eng,117,22014,1363,000228224-M.jpg,0
135,278,The War,Marguerite Duras-Barbara Bray-Ù‚Ù„Ø³Ù… Ø±ÙˆØ¨ÛŒÙ†,3.85,1565842219,9781565842212,eng,192,918,62,000804878-M.jpg,0
136,280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,9780394743042,en-US,181,1939,122,000254350-M.jpg,0
137,281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,9780802151544,eng,133,532,41,000569619-M.jpg,0
138,283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,9782070388097,fre,246,312,23,,0
139,285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,9781851681822,eng,178,201,9,000898979-M.jpg,0
140,288,Kahlil Gibran: His Life and World,Jean Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†-Kahlil Gibran,4.2,156656249X,9781566562492,eng,464,33,2,000807020-M.jpg,0
141,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,9780140195538,eng,102,320,16,00098335-M.jpg,0
142,290,Jesus the Son of Man,Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,3.98,394431243,9780394431246,eng,216,1272,78,000253637-M.jpg,0
143,291,The Broken Wings,Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†-Anthony R. Ferris,3.92,806501901,9780806501901,eng,132,6175,492,000585041-M.jpg,0
144,292,Sand and Foam,Kahlil Gibran-Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,4.08,067943920X,9780679439202,eng,100,2893,210,000418268-M.jpg,0
145,295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9780753453803,eng,311,301399,6160,000500293-M.jpg,0
146,296,Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,9781402714573,en-US,213,393,41,000751890-M.jpg,0
147,297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,eng,245,5900,270,000759394-M.jpg,0
148,298,Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,689854684,9780689854682,eng,64,103,16,000437393-M.jpg,0
149,299,Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,517221144,9780517221143,en-US,272,56,4,000321590-M.jpg,0
150,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,9781577658054,eng,232,85,18,000833286-M.jpg,0
151,304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,9780375760136,eng,796,19852,601,,0
152,313,100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,9780933121188,eng,270,81,4,000712311-M.jpg,0
153,320,One Hundred Years of Solitude,Gabriel GarcÃ­a MÃ¡rquez-Gregory Rabassa,4.06,60531045,9780060531041,eng,417,547207,15763,00027764-M.jpg,0
154,324,Cien aÃ±os de soledad,Gabriel GarcÃ­a MÃ¡rquez,4.06,785950109,9780785950103,spa,448,54,6,,0
155,325,Cien aÃ±os de soledad,Gabriel GarcÃ­a MÃ¡rquez,4.06,8423919005,9788423919000,spa,456,73,8,0004902523-M.jpg,1
156,330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9780394800844,eng,64,2724,153,0005419051-M.jpg,1
157,332,The Wedding Clause,Debbie Raleigh,3.58,821778250,9780821778258,eng,256,89,11,,0
158,333,The Zebra Wall,Kevin Henkes,3.46,60733039,9780060733032,eng,147,206,23,00033308-M.jpg,0
159,337,El perfume: Historia de un asesino,Patrick SÃ¼skind,4.02,8432216062,9788432216060,spa,239,3956,242,0001047151-M.jpg,1
160,338,Jitterbug Perfume,Tom Robbins,4.24,553348981,9780553348989,eng,352,4157,393,000369455-M.jpg,0
161,343,Perfume: The Story of a Murderer,Patrick SÃ¼skind-John E. Woods,4.02,140120831,9780140120837,eng,263,212561,7070,00094825-M.jpg,0
162,347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,9781582881843,eng,738,250,17,0005544844-M.jpg,1
163,348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9780345413994,eng,304,16743,617,000208879-M.jpg,0
164,349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,9780312863555,eng,382,3667,416,0006630020-M.jpg,1
165,350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9780441788385,eng,528,241727,5985,,0
166,352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,9780743488440,en-US,56,3192,23,000479157-M.jpg,0
167,354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9780441748600,en-US,434,10140,187,,0
168,355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9780345316509,en-US,439,15580,422,000207058-M.jpg,0
169,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9780765314932,eng,256,6723,188,000524700-M.jpg,0
170,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9780671742515,en-US,307,65988,1353,000408141-M.jpg,0
171,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,9780345455291,eng,298,21562,722,000210708-M.jpg,0
172,360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,9780345418777,en-US,240,72235,1269,000209038-M.jpg,0
173,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9780345476517,eng,368,2548,47,,0
174,367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,9780345368430,eng,256,864,80,,0
175,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,9781417622856,eng,336,5,0,,0
176,378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,9780394820378,en-US,256,206193,8290,,0
177,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,573650969,9780573650963,eng,72,94,13,0004679268-M.jpg,1
178,385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9780691122946,eng,67,8773,937,000443984-M.jpg,0
179,386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9780393329407,eng,347,9053,907,000251279-M.jpg,0
180,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,9780671867423,en-US,317,119,14,000409210-M.jpg,0
181,397,The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,9780395883976,eng,32,4967,69,000257353-M.jpg,0
182,399,Underworld,Don DeLillo,3.92,684848155,9780684848150,eng,827,1471,170,000427320-M.jpg,0
183,400,Libra,Don DeLillo,3.99,140156046,9780140156041,eng,480,11361,533,00096112-M.jpg,0
184,402,Mao II,Don DeLillo,3.68,140152741,9780140152746,eng,254,8085,411,00096026-M.jpg,0
185,403,Americana,Don DeLillo,3.43,140119485,9780140119480,eng,377,367,54,00094789-M.jpg,0
186,404,Running Dog,Don DeLillo,3.42,679722947,9780679722946,eng,256,1285,70,000419825-M.jpg,0
187,406,Cosmopolis,Don DeLillo,3.22,743244257,9780743244251,eng,224,449,40,000473373-M.jpg,0
188,407,Great Jones Street,Don DeLillo,3.48,140179178,9780140179170,eng,272,2385,137,00096950-M.jpg,0
189,408,The Names,Don DeLillo,3.64,679722955,9780679722953,eng,339,2990,201,000419826-M.jpg,0
190,409,Against the Day,Thomas Pynchon,4.12,159420120X,9781594201202,eng,1085,5110,577,000872335-M.jpg,0
191,410,V.,Thomas Pynchon,3.96,60930217,9780060930219,eng,547,1364,176,00040630-M.jpg,0
